#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      2    20        7784    0.1229E-07    0.3500E+02    0.1853E+02    0.1606E+02    SHTns
  15      4    20        3997    0.6312E-08    0.3500E+02    0.1845E+02    0.1618E+02    SHTns
  15      8    20        1985    0.3139E-08    0.3501E+02    0.1832E+02    0.1634E+02    SHTns
  15     16    20         996    0.1577E-08    0.3501E+02    0.1845E+02    0.1623E+02    SHTns
  15     32    20         496    0.7842E-09    0.3505E+02    0.1852E+02    0.1620E+02    SHTns
  15     64    20         246    0.3884E-09    0.3510E+02    0.1846E+02    0.1632E+02    SHTns
  15    128    20         124    0.1968E-09    0.3502E+02    0.1847E+02    0.1623E+02    SHTns
  15    256    20          62    0.9933E-10    0.3521E+02    0.1851E+02    0.1637E+02    SHTns
  31      2    20        1588    0.2635E-08    0.3501E+02    0.1904E+02    0.1581E+02    SHTns
  31      4    20         803    0.1324E-08    0.3503E+02    0.1915E+02    0.1573E+02    SHTns
  31      8    20         402    0.6643E-09    0.3502E+02    0.1904E+02    0.1584E+02    SHTns
  31     16    20         202    0.3338E-09    0.3511E+02    0.1912E+02    0.1586E+02    SHTns
  31     32    20         100    0.1662E-09    0.3523E+02    0.1934E+02    0.1574E+02    SHTns
