#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       44737    0.2865E-05    0.3500E+02    0.1716E+02    0.1725E+02    Rayleigh
  31      4    20        5060    0.4626E-07    0.3500E+02    0.1324E+02    0.2101E+02    Rayleigh
  63      4    20         754    0.6511E-09    0.3500E+02    0.1236E+02    0.2208E+02    Rayleigh
 127      4    20         190    0.3094E-09    0.3504E+02    0.1341E+02    0.2131E+02    Rayleigh
 255      4    20          64    0.7272E-09    0.3538E+02    0.1388E+02    0.2138E+02    Rayleigh
 511      4    20          16    0.1155E-08    0.3561E+02    0.1601E+02    0.1955E+02    Rayleigh
  15      8    20       36463    0.2335E-05    0.3500E+02    0.1676E+02    0.1752E+02    Rayleigh
  31      8    20        2422    0.2214E-07    0.3500E+02    0.1340E+02    0.2053E+02    Rayleigh
  63      8    20         469    0.4048E-09    0.3504E+02    0.1273E+02    0.2162E+02    Rayleigh
 127      8    20          97    0.1566E-09    0.3516E+02    0.1360E+02    0.2121E+02    Rayleigh
 255      8    20          32    0.3593E-09    0.3543E+02    0.1654E+02    0.1875E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.5695E+02    0.2605E+02    0.3083E+02    Rayleigh
  15     16    20        3725    0.2385E-06    0.3500E+02    0.1557E+02    0.1853E+02    Rayleigh
  31     16    20         755    0.6902E-08    0.3501E+02    0.1793E+02    0.1593E+02    Rayleigh
  63     16    20         201    0.1734E-09    0.3505E+02    0.1682E+02    0.1768E+02    Rayleigh
 127     16    20          75    0.1224E-09    0.3520E+02    0.1528E+02    0.1965E+02    Rayleigh
 255     16    20          17    0.1930E-09    0.3666E+02    0.1620E+02    0.2035E+02    Rayleigh
  15     32    20        1431    0.9163E-07    0.3500E+02    0.1502E+02    0.1875E+02    Rayleigh
  31     32    20         436    0.3987E-08    0.3502E+02    0.1550E+02    0.1851E+02    Rayleigh
  63     32    20         158    0.1369E-09    0.3507E+02    0.1437E+02    0.2011E+02    Rayleigh
 127     32    20          18    0.3057E-10    0.3568E+02    0.1737E+02    0.1809E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.6011E+02    0.2997E+02    0.2999E+02    Rayleigh
  15      2    20      118229    0.7570E-05    0.3500E+02    0.1691E+02    0.1735E+02    Rayleigh
  31      2    20       38102    0.3483E-06    0.3500E+02    0.1602E+02    0.1835E+02    Rayleigh
  63      2    20        1677    0.1449E-08    0.3500E+02    0.1214E+02    0.2181E+02    Rayleigh
 127      2    20         374    0.6174E-09    0.3500E+02    0.1304E+02    0.2143E+02    Rayleigh
 255      2    20         106    0.1207E-08    0.3527E+02    0.1494E+02    0.2006E+02    Rayleigh
 511      2    20          26    0.1864E-08    0.3561E+02    0.1556E+02    0.1999E+02    Rayleigh
  15     64    20         857    0.5488E-07    0.3502E+02    0.1493E+02    0.1901E+02    Rayleigh
  31     64    20         399    0.3648E-08    0.3505E+02    0.1465E+02    0.1963E+02    Rayleigh
  63     64    20          34    0.2989E-10    0.3536E+02    0.1832E+02    0.1657E+02    Rayleigh
 127     64    20          14    0.2603E-10    0.3585E+02    0.1683E+02    0.1886E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1092E+03    0.5332E+02    0.5567E+02    Rayleigh
  15    128    20         289    0.1851E-07    0.3505E+02    0.1527E+02    0.1868E+02    Rayleigh
  31    128    20          80    0.7321E-09    0.3524E+02    0.1737E+02    0.1714E+02    Rayleigh
  63    128    20          21    0.1868E-10    0.3515E+02    0.1800E+02    0.1662E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7873E+02    0.4090E+02    0.3749E+02    Rayleigh
