#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       48623    0.7674E-07    0.3500E+02    0.1416E+02    0.2037E+02    SHTns
  31      4    20       13856    0.2300E-07    0.3500E+02    0.1341E+02    0.2117E+02    SHTns
  63      4    20        2159    0.6828E-08    0.3501E+02    0.1199E+02    0.2274E+02    SHTns
 127      4    20         350    0.1074E-08    0.3504E+02    0.1315E+02    0.2176E+02    SHTns
 255      4    20          50    0.1370E-09    0.3549E+02    0.1289E+02    0.2257E+02    SHTns
 511      4    20          10    0.9620E-10    0.4787E+02    0.1669E+02    0.3116E+02    SHTns
  15      8    20       38407    0.6061E-07    0.3500E+02    0.1220E+02    0.2222E+02    SHTns
  31      8    20        6731    0.1117E-07    0.3500E+02    0.1353E+02    0.2074E+02    SHTns
  63      8    20        1049    0.3316E-08    0.3500E+02    0.1341E+02    0.2123E+02    SHTns
 127      8    20         203    0.6226E-09    0.3510E+02    0.1302E+02    0.2195E+02    SHTns
 255      8    20          31    0.8443E-10    0.3603E+02    0.1330E+02    0.2269E+02    SHTns
 511      8    20          10    0.9620E-10    0.8272E+02    0.3175E+02    0.5093E+02    SHTns
  15     16    20       18597    0.2936E-07    0.3500E+02    0.1260E+02    0.2173E+02    SHTns
  31     16    20        3056    0.5072E-08    0.3500E+02    0.1373E+02    0.2012E+02    SHTns
  63     16    20         650    0.2051E-08    0.3502E+02    0.1398E+02    0.2066E+02    SHTns
 127     16    20          97    0.2980E-09    0.3510E+02    0.1306E+02    0.2193E+02    SHTns
 255     16    20          16    0.4358E-10    0.3629E+02    0.1475E+02    0.2149E+02    SHTns
 511     16    20          10    0.9620E-10    0.1692E+03    0.6367E+02    0.1055E+03    SHTns
  15     32    20        6919    0.1093E-07    0.3500E+02    0.1296E+02    0.1983E+02    SHTns
  31     32    20        1634    0.2725E-08    0.3500E+02    0.1332E+02    0.2031E+02    SHTns
  63     32    20         293    0.9256E-09    0.3501E+02    0.1378E+02    0.2087E+02    SHTns
 127     32    20          45    0.1386E-09    0.3541E+02    0.1313E+02    0.2217E+02    SHTns
 255     32    20          10    0.2697E-10    0.4659E+02    0.1731E+02    0.2924E+02    SHTns
  15      2    20      107828    0.1702E-06    0.3500E+02    0.1406E+02    0.2030E+02    SHTns
  31      2    20       25311    0.4195E-07    0.3500E+02    0.1309E+02    0.2151E+02    SHTns
  63      2    20        3713    0.1174E-07    0.3500E+02    0.1332E+02    0.2122E+02    SHTns
 127      2    20         804    0.2459E-08    0.3503E+02    0.1299E+02    0.2187E+02    SHTns
 255      2    20          88    0.2391E-09    0.3507E+02    0.1265E+02    0.2237E+02    SHTns
 511      2    20          12    0.1154E-09    0.3578E+02    0.1311E+02    0.2266E+02    SHTns
  15     64    20        3677    0.5805E-08    0.3500E+02    0.1136E+02    0.2223E+02    SHTns
  31     64    20         787    0.1305E-08    0.3502E+02    0.1333E+02    0.2054E+02    SHTns
  63     64    20         137    0.4331E-09    0.3524E+02    0.1199E+02    0.2291E+02    SHTns
 127     64    20          26    0.8008E-10    0.3589E+02    0.1347E+02    0.2233E+02    SHTns
 255     64    20          10    0.2716E-10    0.8827E+02    0.3477E+02    0.5341E+02    SHTns
  15    128    20        1431    0.2258E-08    0.3502E+02    0.1397E+02    0.1748E+02    SHTns
  31    128    20         333    0.5559E-09    0.3502E+02    0.1381E+02    0.1915E+02    SHTns
  63    128    20          68    0.2158E-09    0.3512E+02    0.1392E+02    0.2084E+02    SHTns
 127    128    20          14    0.4331E-10    0.3754E+02    0.1405E+02    0.2339E+02    SHTns
