#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      2    20      155112    0.9932E-05    0.3500E+02    0.1714E+02    0.1704E+02    Rayleigh
  15      4    20       85025    0.5444E-05    0.3500E+02    0.1684E+02    0.1748E+02    Rayleigh
  15      8    20       44796    0.2868E-05    0.3500E+02    0.1696E+02    0.1734E+02    Rayleigh
  15     16    20       22303    0.1428E-05    0.3500E+02    0.1725E+02    0.1709E+02    Rayleigh
  15     32    20       10861    0.6954E-06    0.3500E+02    0.1784E+02    0.1653E+02    Rayleigh
  15     64    20        5433    0.3479E-06    0.3500E+02    0.1804E+02    0.1633E+02    Rayleigh
  15    128    20        2195    0.1406E-06    0.3500E+02    0.1749E+02    0.1689E+02    Rayleigh
  15    256    20         784    0.5020E-07    0.3502E+02    0.1578E+02    0.1863E+02    Rayleigh
  31      2    20       44170    0.4038E-06    0.3500E+02    0.1638E+02    0.1798E+02    Rayleigh
  31      4    20       23180    0.2119E-06    0.3500E+02    0.1646E+02    0.1807E+02    Rayleigh
  31      8    20       11666    0.1066E-06    0.3500E+02    0.1664E+02    0.1789E+02    Rayleigh
  31     16    20        5723    0.5232E-07    0.3500E+02    0.1701E+02    0.1755E+02    Rayleigh
  31     32    20        2248    0.2055E-07    0.3500E+02    0.1673E+02    0.1790E+02    Rayleigh
  31     64    20         803    0.7341E-08    0.3500E+02    0.1523E+02    0.1937E+02    Rayleigh
  31    128    20         380    0.3476E-08    0.3503E+02    0.1505E+02    0.1931E+02    Rayleigh
  31    256    20         190    0.1738E-08    0.3516E+02    0.1518E+02    0.1921E+02    Rayleigh
  63      2    20       10347    0.8920E-08    0.3500E+02    0.1642E+02    0.1824E+02    Rayleigh
  63      4    20        5184    0.4467E-08    0.3500E+02    0.1675E+02    0.1802E+02    Rayleigh
  63      8    20        2060    0.1779E-08    0.3501E+02    0.1645E+02    0.1835E+02    Rayleigh
  63     16    20         743    0.6414E-09    0.3501E+02    0.1527E+02    0.1950E+02    Rayleigh
  63     32    20         353    0.3038E-09    0.3509E+02    0.1516E+02    0.1958E+02    Rayleigh
  63     64    20         177    0.1537E-09    0.3501E+02    0.1513E+02    0.1948E+02    Rayleigh
  63    128    20          72    0.6341E-10    0.3545E+02    0.1238E+02    0.2274E+02    Rayleigh
  63    256    20          35    0.3188E-10    0.3508E+02    0.1258E+02    0.2217E+02    Rayleigh
 127      2    20        1555    0.2553E-08    0.3502E+02    0.1688E+02    0.1800E+02    Rayleigh
 127      4    20         630    0.1038E-08    0.3500E+02    0.1577E+02    0.1910E+02    Rayleigh
 127      8    20         309    0.5097E-09    0.3510E+02    0.1568E+02    0.1924E+02    Rayleigh
 127     16    20         156    0.2549E-09    0.3508E+02    0.1558E+02    0.1930E+02    Rayleigh
 127     32    20          65    0.1115E-09    0.3522E+02    0.1295E+02    0.2209E+02    Rayleigh
 127     64    20          33    0.6112E-10    0.3600E+02    0.1336E+02    0.2247E+02    Rayleigh
 127    128    20          16    0.2819E-10    0.3541E+02    0.1343E+02    0.2182E+02    Rayleigh
 127    256    20          10    0.2046E-10    0.4733E+02    0.1933E+02    0.2780E+02    Rayleigh
 255      2    20         234    0.2679E-08    0.3510E+02    0.1618E+02    0.1879E+02    Rayleigh
 255      4    20         124    0.1416E-08    0.3505E+02    0.1603E+02    0.1893E+02    Rayleigh
 255      8    20          55    0.6242E-09    0.3510E+02    0.1381E+02    0.2121E+02    Rayleigh
 255     16    20          28    0.3153E-09    0.3545E+02    0.1387E+02    0.2149E+02    Rayleigh
 255     32    20          14    0.1633E-09    0.3566E+02    0.1410E+02    0.2148E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.5170E+02    0.2074E+02    0.3085E+02    Rayleigh
 255    128    20          10    0.1164E-09    0.1078E+03    0.4527E+02    0.6233E+02    Rayleigh
 255    256    20          10    0.1241E-09    0.2284E+03    0.1035E+03    0.1245E+03    Rayleigh
 511      2    20          39    0.2794E-08    0.3583E+02    0.1540E+02    0.2037E+02    Rayleigh
 511      4    20          21    0.1509E-08    0.3597E+02    0.1527E+02    0.2067E+02    Rayleigh
 511      8    20          11    0.7944E-09    0.3648E+02    0.1550E+02    0.2095E+02    Rayleigh
 511     16    20          10    0.7212E-09    0.6527E+02    0.2770E+02    0.3750E+02    Rayleigh
 511     32    20          10    0.7212E-09    0.1304E+03    0.5556E+02    0.7471E+02    Rayleigh
 511     64    20          10    0.7226E-09    0.2687E+03    0.1173E+03    0.1511E+03    Rayleigh
 511    128    20          10    0.7226E-09    0.5578E+03    0.2554E+03    0.3020E+03    Rayleigh
 511    256    20          10    0.7249E-09    0.1115E+04    0.5184E+03    0.5962E+03    Rayleigh
1023      2    20          10    0.7047E-09    0.5543E+02    0.2577E+02    0.2963E+02    Rayleigh
1023      4    20          10    0.7047E-09    0.1024E+03    0.4682E+02    0.5557E+02    Rayleigh
1023      8    20          10    0.7047E-09    0.1965E+03    0.8894E+02    0.1074E+03    Rayleigh
1023     16    20          10    0.7047E-09    0.3865E+03    0.1749E+03    0.2115E+03    Rayleigh
1023     32    20          10    0.7047E-09    0.7807E+03    0.3586E+03    0.4218E+03    Rayleigh
1023     64    20          10    0.7047E-09    0.1583E+04    0.7446E+03    0.8384E+03    Rayleigh
