#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      2    20      159222    0.1790E-06    0.3500E+02    0.1179E+02    0.2242E+02    SHTns
  15      4    20       79301    0.8916E-07    0.3500E+02    0.1183E+02    0.2251E+02    SHTns
  15      8    20       40282    0.4530E-07    0.3500E+02    0.1184E+02    0.2254E+02    SHTns
  15     16    20       20374    0.2290E-07    0.3500E+02    0.1193E+02    0.2247E+02    SHTns
  15     32    20       10255    0.1153E-07    0.3500E+02    0.1186E+02    0.2255E+02    SHTns
  15     64    20        5089    0.5722E-08    0.3501E+02    0.1200E+02    0.2242E+02    SHTns
  15    128    20        2547    0.2860E-08    0.3501E+02    0.1201E+02    0.2241E+02    SHTns
  15    256    20        1243    0.1398E-08    0.3502E+02    0.1217E+02    0.2210E+02    SHTns
  31      2    20       34030    0.5356E-07    0.3500E+02    0.1324E+02    0.2127E+02    SHTns
  31      4    20       17153    0.2700E-07    0.3500E+02    0.1319E+02    0.2146E+02    SHTns
  31      8    20        8650    0.1361E-07    0.3500E+02    0.1324E+02    0.2141E+02    SHTns
  31     16    20        4352    0.6862E-08    0.3501E+02    0.1325E+02    0.2142E+02    SHTns
  31     32    20        2174    0.3425E-08    0.3502E+02    0.1325E+02    0.2145E+02    SHTns
  31     64    20        1031    0.1638E-08    0.3501E+02    0.1325E+02    0.2138E+02    SHTns
  31    128    20         513    0.8176E-09    0.3504E+02    0.1352E+02    0.2090E+02    SHTns
  31    256    20         256    0.4120E-09    0.3501E+02    0.1347E+02    0.2082E+02    SHTns
  63      2    20        6314    0.1257E-07    0.3500E+02    0.1332E+02    0.2147E+02    SHTns
  63      4    20        3191    0.6367E-08    0.3501E+02    0.1338E+02    0.2148E+02    SHTns
  63      8    20        1596    0.3180E-08    0.3501E+02    0.1343E+02    0.2143E+02    SHTns
  63     16    20         772    0.1536E-08    0.3500E+02    0.1370E+02    0.2113E+02    SHTns
  63     32    20         379    0.7559E-09    0.3500E+02    0.1380E+02    0.2096E+02    SHTns
  63     64    20         190    0.3789E-09    0.3512E+02    0.1384E+02    0.2098E+02    SHTns
  63    128    20          95    0.1901E-09    0.3517E+02    0.1391E+02    0.2097E+02    SHTns
  63    256    20          48    0.9723E-10    0.3559E+02    0.1411E+02    0.2117E+02    SHTns
 127      2    20        1017    0.2704E-08    0.3502E+02    0.1304E+02    0.2191E+02    SHTns
 127      4    20         496    0.1321E-08    0.3506E+02    0.1333E+02    0.2167E+02    SHTns
 127      8    20         245    0.6502E-09    0.3504E+02    0.1342E+02    0.2152E+02    SHTns
 127     16    20         123    0.3266E-09    0.3521E+02    0.1345E+02    0.2165E+02    SHTns
 127     32    20          62    0.1652E-09    0.3545E+02    0.1356E+02    0.2178E+02    SHTns
 127     64    20          31    0.8288E-10    0.3554E+02    0.1367E+02    0.2177E+02    SHTns
 127    128    20          16    0.4309E-10    0.3682E+02    0.1427E+02    0.2245E+02    SHTns
 127    256    20          10    0.2746E-10    0.4893E+02    0.1815E+02    0.3065E+02    SHTns
 255      2    20         139    0.3955E-09    0.3507E+02    0.1237E+02    0.2265E+02    SHTns
 255      4    20          74    0.2026E-09    0.3515E+02    0.1318E+02    0.2194E+02    SHTns
 255      8    20          37    0.1016E-09    0.3508E+02    0.1322E+02    0.2182E+02    SHTns
 255     16    20          19    0.5310E-10    0.3610E+02    0.1365E+02    0.2241E+02    SHTns
 255     32    20          10    0.2803E-10    0.3816E+02    0.1455E+02    0.2357E+02    SHTns
 255     64    20          10    0.2803E-10    0.7629E+02    0.2910E+02    0.4712E+02    SHTns
 255    128    20          10    0.2803E-10    0.1526E+03    0.5821E+02    0.9423E+02    SHTns
 255    256    20          10    0.2803E-10    0.3050E+03    0.1163E+03    0.1885E+03    SHTns
 511      2    20          21    0.1962E-09    0.3665E+02    0.1326E+02    0.2337E+02    SHTns
 511      4    20          11    0.1026E-09    0.3845E+02    0.1397E+02    0.2447E+02    SHTns
 511      8    20          10    0.9344E-10    0.6996E+02    0.2542E+02    0.4451E+02    SHTns
 511     16    20          10    0.9344E-10    0.1399E+03    0.5084E+02    0.8897E+02    SHTns
 511     32    20          10    0.9344E-10    0.2797E+03    0.1017E+03    0.1779E+03    SHTns
 511     64    20          10    0.9344E-10    0.5595E+03    0.2036E+03    0.3557E+03    SHTns
 511    128    20          10    0.9344E-10    0.1118E+04    0.4065E+03    0.7115E+03    SHTns
 511    256    20          10    0.9404E-10    0.2237E+04    0.8134E+03    0.1423E+04    SHTns
1023      2    20          10    0.9011E-10    0.1186E+03    0.4596E+02    0.7267E+02    SHTns
1023      4    20          10    0.9011E-10    0.2371E+03    0.9189E+02    0.1452E+03    SHTns
1023      8    20          10    0.9011E-10    0.4738E+03    0.1837E+03    0.2901E+03    SHTns
1023     16    20          10    0.9011E-10    0.9480E+03    0.3673E+03    0.5805E+03    SHTns
1023     32    20          10    0.9011E-10    0.1894E+04    0.7346E+03    0.1160E+04    SHTns
1023     64    20          10    0.9011E-10    0.3790E+04    0.1469E+04    0.2320E+04    SHTns
1023    128    20           5    0.4515E-10    0.3810E+04    0.1487E+04    0.2323E+04    SHTns
