#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      2    20      159404    0.1792E-06    0.3500E+02    0.1183E+02    0.2237E+02    SHTns
  15      4    20       79610    0.8951E-07    0.3500E+02    0.1192E+02    0.2245E+02    SHTns
  15      8    20       40228    0.4524E-07    0.3500E+02    0.1189E+02    0.2249E+02    SHTns
  15     16    20       20367    0.2289E-07    0.3500E+02    0.1196E+02    0.2244E+02    SHTns
  15     32    20       10245    0.1151E-07    0.3500E+02    0.1189E+02    0.2252E+02    SHTns
  15     64    20        5086    0.5719E-08    0.3500E+02    0.1204E+02    0.2238E+02    SHTns
  15    128    20        2332    0.3079E-08    0.3501E+02    0.1398E+02    0.2050E+02    SHTns
  15    256    20        1246    0.1401E-08    0.3501E+02    0.1217E+02    0.2211E+02    SHTns
  31      2    20       34052    0.5360E-07    0.3500E+02    0.1321E+02    0.2130E+02    SHTns
  31      4    20       17160    0.2701E-07    0.3500E+02    0.1317E+02    0.2148E+02    SHTns
  31      8    20        8657    0.1362E-07    0.3500E+02    0.1321E+02    0.2144E+02    SHTns
  31     16    20        4356    0.6869E-08    0.3500E+02    0.1323E+02    0.2143E+02    SHTns
  31     32    20        2178    0.3431E-08    0.3500E+02    0.1319E+02    0.2150E+02    SHTns
  31     64    20        1049    0.1670E-08    0.3502E+02    0.1348E+02    0.2115E+02    SHTns
  31    128    20         512    0.8158E-09    0.3501E+02    0.1351E+02    0.2087E+02    SHTns
  31    256    20         256    0.4120E-09    0.3504E+02    0.1348E+02    0.2084E+02    SHTns
  63      2    20        6209    0.1272E-07    0.3500E+02    0.1310E+02    0.2170E+02    SHTns
  63      4    20        3188    0.6362E-08    0.3500E+02    0.1341E+02    0.2145E+02    SHTns
  63      8    20        1597    0.3182E-08    0.3500E+02    0.1343E+02    0.2143E+02    SHTns
  63     16    20         773    0.1538E-08    0.3504E+02    0.1371E+02    0.2116E+02    SHTns
  63     32    20         379    0.7559E-09    0.3502E+02    0.1380E+02    0.2098E+02    SHTns
  63     64    20         187    0.3850E-09    0.3512E+02    0.1362E+02    0.2122E+02    SHTns
  63    128    20          93    0.1913E-09    0.3512E+02    0.1368E+02    0.2115E+02    SHTns
  63    256    20          48    0.9723E-10    0.3561E+02    0.1412E+02    0.2118E+02    SHTns
 127      2    20        1015    0.2699E-08    0.3500E+02    0.1304E+02    0.2189E+02    SHTns
 127      4    20         495    0.1318E-08    0.3504E+02    0.1330E+02    0.2168E+02    SHTns
 127      8    20         245    0.6502E-09    0.3507E+02    0.1340E+02    0.2158E+02    SHTns
 127     16    20         123    0.3266E-09    0.3518E+02    0.1345E+02    0.2162E+02    SHTns
 127     32    20          62    0.1652E-09    0.3540E+02    0.1356E+02    0.2173E+02    SHTns
 127     64    20          31    0.8288E-10    0.3546E+02    0.1367E+02    0.2169E+02    SHTns
 127    128    20          16    0.4309E-10    0.3676E+02    0.1429E+02    0.2237E+02    SHTns
 127    256    20          10    0.2740E-10    0.4644E+02    0.1822E+02    0.2809E+02    SHTns
 255      2    20         148    0.4044E-09    0.3514E+02    0.1316E+02    0.2193E+02    SHTns
 255      4    20          74    0.2026E-09    0.3509E+02    0.1320E+02    0.2186E+02    SHTns
 255      8    20          37    0.1016E-09    0.3526E+02    0.1322E+02    0.2199E+02    SHTns
 255     16    20          19    0.5310E-10    0.3613E+02    0.1367E+02    0.2242E+02    SHTns
 255     32    20          10    0.2803E-10    0.3818E+02    0.1456E+02    0.2358E+02    SHTns
 255     64    20          10    0.2894E-10    0.8105E+02    0.2912E+02    0.5186E+02    SHTns
 255    128    20          10    0.2803E-10    0.1527E+03    0.5824E+02    0.9435E+02    SHTns
 255    256    20          10    0.2803E-10    0.3053E+03    0.1165E+03    0.1886E+03    SHTns
 511      2    20          21    0.1962E-09    0.3665E+02    0.1325E+02    0.2337E+02    SHTns
 511      4    20          11    0.1037E-09    0.3687E+02    0.1397E+02    0.2290E+02    SHTns
 511      8    20          10    0.9344E-10    0.7113E+02    0.2542E+02    0.4568E+02    SHTns
 511     16    20          10    0.9344E-10    0.1399E+03    0.5086E+02    0.8896E+02    SHTns
 511     32    20          10    0.9447E-10    0.2682E+03    0.1017E+03    0.1664E+03    SHTns
 511     64    20          10    0.9344E-10    0.5594E+03    0.2035E+03    0.3557E+03    SHTns
 511    128    20          10    0.9447E-10    0.1073E+04    0.4069E+03    0.6655E+03    SHTns
 511    256    20          10    0.9447E-10    0.2146E+04    0.8135E+03    0.1331E+04    SHTns
1023      2    20          10    0.8998E-10    0.1209E+03    0.4597E+02    0.7489E+02    SHTns
1023      4    20          10    0.9011E-10    0.2370E+03    0.9195E+02    0.1451E+03    SHTns
1023      8    20          10    0.9011E-10    0.4768E+03    0.1838E+03    0.2930E+03    SHTns
1023     16    20          10    0.9011E-10    0.9477E+03    0.3673E+03    0.5803E+03    SHTns
1023     32    20          10    0.9011E-10    0.1896E+04    0.7348E+03    0.1161E+04    SHTns
1023     64    20          10    0.9011E-10    0.3791E+04    0.1470E+04    0.2321E+04    SHTns
1023    128    20           5    0.4515E-10    0.3811E+04    0.1487E+04    0.2324E+04    SHTns
