#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      2    20      160291    0.1026E-04    0.3500E+02    0.1701E+02    0.1722E+02    Rayleigh
  15      4    20       90131    0.5771E-05    0.3500E+02    0.1697E+02    0.1735E+02    Rayleigh
  15      8    20       47635    0.3050E-05    0.3500E+02    0.1711E+02    0.1721E+02    Rayleigh
  15     16    20       23529    0.1507E-05    0.3500E+02    0.1729E+02    0.1706E+02    Rayleigh
  15     32    20       11506    0.7367E-06    0.3500E+02    0.1775E+02    0.1663E+02    Rayleigh
  15     64    20        5119    0.3278E-06    0.3501E+02    0.1734E+02    0.1707E+02    Rayleigh
  15    128    20        1714    0.1097E-06    0.3502E+02    0.1493E+02    0.1961E+02    Rayleigh
  15    256    20         767    0.4911E-07    0.3501E+02    0.1469E+02    0.1953E+02    Rayleigh
  31      2    20       47253    0.4320E-06    0.3500E+02    0.1650E+02    0.1788E+02    Rayleigh
  31      4    20       24747    0.2262E-06    0.3500E+02    0.1658E+02    0.1796E+02    Rayleigh
  31      8    20       12467    0.1140E-06    0.3500E+02    0.1674E+02    0.1779E+02    Rayleigh
  31     16    20        5508    0.5036E-07    0.3500E+02    0.1648E+02    0.1811E+02    Rayleigh
  31     32    20        1742    0.1593E-07    0.3501E+02    0.1419E+02    0.2049E+02    Rayleigh
  31     64    20         780    0.7131E-08    0.3501E+02    0.1428E+02    0.2020E+02    Rayleigh
  31    128    20         386    0.3531E-08    0.3505E+02    0.1450E+02    0.1991E+02    Rayleigh
  31    256    20         189    0.1729E-08    0.3512E+02    0.1455E+02    0.1991E+02    Rayleigh
  63      2    20       10989    0.9477E-08    0.3500E+02    0.1652E+02    0.1815E+02    Rayleigh
  63      4    20        4968    0.4280E-08    0.3500E+02    0.1620E+02    0.1858E+02    Rayleigh
  63      8    20        1632    0.1409E-08    0.3501E+02    0.1446E+02    0.2035E+02    Rayleigh
  63     16    20         721    0.6221E-09    0.3504E+02    0.1440E+02    0.2037E+02    Rayleigh
  63     32    20         365    0.3145E-09    0.3505E+02    0.1443E+02    0.2030E+02    Rayleigh
  63     64    20         181    0.1575E-09    0.3516E+02    0.1470E+02    0.2008E+02    Rayleigh
  63    128    20          76    0.6697E-10    0.3533E+02    0.1259E+02    0.2233E+02    Rayleigh
  63    256    20          37    0.3342E-10    0.3573E+02    0.1278E+02    0.2263E+02    Rayleigh
 127      2    20        1365    0.2233E-08    0.3501E+02    0.1523E+02    0.1963E+02    Rayleigh
 127      4    20         628    0.1034E-08    0.3505E+02    0.1487E+02    0.2003E+02    Rayleigh
 127      8    20         323    0.5333E-09    0.3506E+02    0.1492E+02    0.1997E+02    Rayleigh
 127     16    20         163    0.2657E-09    0.3515E+02    0.1501E+02    0.1996E+02    Rayleigh
 127     32    20          69    0.1160E-09    0.3542E+02    0.1295E+02    0.2223E+02    Rayleigh
 127     64    20          35    0.6448E-10    0.3537E+02    0.1328E+02    0.2194E+02    Rayleigh
 127    128    20          17    0.3001E-10    0.3684E+02    0.1360E+02    0.2309E+02    Rayleigh
 127    256    20          10    0.2046E-10    0.4902E+02    0.2267E+02    0.2618E+02    Rayleigh
 255      2    20         246    0.2818E-08    0.3502E+02    0.1537E+02    0.1950E+02    Rayleigh
 255      4    20         128    0.1463E-08    0.3513E+02    0.1536E+02    0.1962E+02    Rayleigh
 255      8    20          55    0.6242E-09    0.3517E+02    0.1419E+02    0.2081E+02    Rayleigh
 255     16    20          30    0.3381E-09    0.3605E+02    0.1424E+02    0.2173E+02    Rayleigh
 255     32    20          14    0.1633E-09    0.3539E+02    0.1411E+02    0.2120E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.5207E+02    0.2175E+02    0.3023E+02    Rayleigh
 255    128    20          10    0.1164E-09    0.1035E+03    0.4650E+02    0.5679E+02    Rayleigh
 255    256    20          10    0.1241E-09    0.2333E+03    0.1107E+03    0.1219E+03    Rayleigh
 511      2    20          40    0.2866E-08    0.3559E+02    0.1554E+02    0.2000E+02    Rayleigh
 511      4    20          21    0.1509E-08    0.3568E+02    0.1559E+02    0.1992E+02    Rayleigh
 511      8    20          11    0.7944E-09    0.3710E+02    0.1626E+02    0.2080E+02    Rayleigh
 511     16    20          10    0.7212E-09    0.6558E+02    0.2848E+02    0.3672E+02    Rayleigh
 511     32    20          10    0.7212E-09    0.1216E+03    0.5209E+02    0.6946E+02    Rayleigh
 511     64    20          10    0.7226E-09    0.2762E+03    0.1290E+03    0.1464E+03    Rayleigh
 511    128    20          10    0.7226E-09    0.7047E+03    0.3178E+03    0.3783E+03    Rayleigh
 511    256    20           3    0.2178E-09    0.2539E+04    0.3203E+03    0.2203E+04    Rayleigh
1023      2    20          10    0.7047E-09    0.6353E+02    0.3075E+02    0.3275E+02    Rayleigh
1023      4    20          10    0.7047E-09    0.1091E+03    0.5111E+02    0.5795E+02    Rayleigh
1023      8    20          10    0.7047E-09    0.1999E+03    0.9333E+02    0.1064E+03    Rayleigh
1023     16    20          10    0.7047E-09    0.3628E+03    0.1652E+03    0.1974E+03    Rayleigh
1023     32    20          10    0.7047E-09    0.9228E+03    0.4405E+03    0.4786E+03    Rayleigh
1023     64    20           2    0.1418E-09    0.2032E+04    0.2347E+03    0.1784E+04    Rayleigh
