#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      2    20      170316    0.1914E-06    0.3500E+02    0.1207E+02    0.2211E+02    SHTns
  15      4    20       78570    0.9482E-07    0.3500E+02    0.1114E+02    0.2326E+02    SHTns
  15      8    20       39562    0.4776E-07    0.3500E+02    0.1126E+02    0.2317E+02    SHTns
  15     16    20       19842    0.2395E-07    0.3500E+02    0.1153E+02    0.2293E+02    SHTns
  15     32    20       10128    0.1223E-07    0.3500E+02    0.1116E+02    0.2331E+02    SHTns
  15     64    20        4964    0.5987E-08    0.3501E+02    0.1167E+02    0.2281E+02    SHTns
  15    128    20        2656    0.2984E-08    0.3501E+02    0.1238E+02    0.2195E+02    SHTns
  15    256    20        1249    0.1405E-08    0.3502E+02    0.1264E+02    0.2119E+02    SHTns
  31      2    20       35463    0.5578E-07    0.3500E+02    0.1301E+02    0.2152E+02    SHTns
  31      4    20       17868    0.2810E-07    0.3500E+02    0.1304E+02    0.2163E+02    SHTns
  31      8    20        8970    0.1410E-07    0.3500E+02    0.1323E+02    0.2144E+02    SHTns
  31     16    20        4586    0.7259E-08    0.3500E+02    0.1335E+02    0.2133E+02    SHTns
  31     32    20        2203    0.3470E-08    0.3501E+02    0.1318E+02    0.2148E+02    SHTns
  31     64    20        1039    0.1633E-08    0.3502E+02    0.1336E+02    0.2100E+02    SHTns
  31    128    20         519    0.8231E-09    0.3502E+02    0.1329E+02    0.2091E+02    SHTns
  31    256    20         260    0.4170E-09    0.3509E+02    0.1335E+02    0.2091E+02    SHTns
  63      2    20        6452    0.1266E-07    0.3500E+02    0.1279E+02    0.2202E+02    SHTns
  63      4    20        3367    0.6718E-08    0.3500E+02    0.1335E+02    0.2151E+02    SHTns
  63      8    20        1628    0.3244E-08    0.3502E+02    0.1364E+02    0.2121E+02    SHTns
  63     16    20         782    0.1556E-08    0.3504E+02    0.1388E+02    0.2089E+02    SHTns
  63     32    20         393    0.7840E-09    0.3502E+02    0.1378E+02    0.2089E+02    SHTns
  63     64    20         191    0.3756E-09    0.3505E+02    0.1340E+02    0.2130E+02    SHTns
  63    128    20          99    0.1978E-09    0.3522E+02    0.1392E+02    0.2094E+02    SHTns
  63    256    20          48    0.9547E-10    0.3537E+02    0.1357E+02    0.2140E+02    SHTns
 127      2    20        1073    0.3017E-08    0.3503E+02    0.1355E+02    0.2140E+02    SHTns
 127      4    20         519    0.1460E-08    0.3501E+02    0.1385E+02    0.2106E+02    SHTns
 127      8    20         259    0.7291E-09    0.3501E+02    0.1382E+02    0.2106E+02    SHTns
 127     16    20         131    0.3699E-09    0.3526E+02    0.1391E+02    0.2121E+02    SHTns
 127     32    20          65    0.1834E-09    0.3507E+02    0.1390E+02    0.2104E+02    SHTns
 127     64    20          32    0.8697E-10    0.3582E+02    0.1372E+02    0.2197E+02    SHTns
 127    128    20          17    0.4843E-10    0.3710E+02    0.1478E+02    0.2217E+02    SHTns
 127    256    20          10    0.2746E-10    0.4529E+02    0.1760E+02    0.2753E+02    SHTns
 255      2    20         145    0.4125E-09    0.3503E+02    0.1245E+02    0.2252E+02    SHTns
 255      4    20          73    0.2080E-09    0.3523E+02    0.1260E+02    0.2259E+02    SHTns
 255      8    20          37    0.1055E-09    0.3570E+02    0.1279E+02    0.2286E+02    SHTns
 255     16    20          19    0.5455E-10    0.3675E+02    0.1321E+02    0.2350E+02    SHTns
 255     32    20          10    0.2803E-10    0.3659E+02    0.1409E+02    0.2245E+02    SHTns
 255     64    20          10    0.2894E-10    0.7748E+02    0.2801E+02    0.4939E+02    SHTns
 255    128    20          10    0.2902E-10    0.1549E+03    0.5595E+02    0.9876E+02    SHTns
 255    256    20          10    0.2910E-10    0.3105E+03    0.1124E+03    0.1977E+03    SHTns
 511      2    20          21    0.1962E-09    0.3615E+02    0.1298E+02    0.2314E+02    SHTns
 511      4    20          11    0.1026E-09    0.3764E+02    0.1351E+02    0.2411E+02    SHTns
 511      8    20          10    0.9344E-10    0.6814E+02    0.2448E+02    0.4363E+02    SHTns
 511     16    20          10    0.9344E-10    0.1364E+03    0.4901E+02    0.8737E+02    SHTns
 511     32    20          10    0.9447E-10    0.2563E+03    0.9777E+02    0.1585E+03    SHTns
 511     64    20          10    0.9447E-10    0.5131E+03    0.1955E+03    0.3174E+03    SHTns
 511    128    20          10    0.9344E-10    0.1091E+04    0.3917E+03    0.6986E+03    SHTns
 511    256    20           8    0.7527E-10    0.1932E+04    0.7196E+03    0.1202E+04    SHTns
1023      2    20          10    0.9011E-10    0.1136E+03    0.4405E+02    0.6950E+02    SHTns
1023      4    20          10    0.9011E-10    0.2273E+03    0.8773E+02    0.1395E+03    SHTns
1023      8    20          10    0.8944E-10    0.4785E+03    0.1753E+03    0.3031E+03    SHTns
1023     16    20          10    0.8944E-10    0.9571E+03    0.3506E+03    0.6064E+03    SHTns
1023     32    20          10    0.9011E-10    0.1813E+04    0.7030E+03    0.1110E+04    SHTns
1023     64    20           5    0.4509E-10    0.1992E+04    0.7751E+03    0.1207E+04    SHTns
1023    128    20           1    0.8966E-11    0.2318E+04    0.6062E+03    0.1591E+04    SHTns
